iter	Passed	Remaining
0	1329	2658400
1	2572	2570396
2	3803	2532132
3	4982	2486333
4	6202	2474989
5	7425	2467593
6	8583	2443895
7	9810	2442931
8	11047	2443870
9	12298	2447455
10	13591	2457629
11	14815	2454446
12	15992	2444378
13	17271	2450061
14	18516	2450414
15	19684	2440850
16	20957	2444618
17	22189	2443363
18	23335	2433062
19	24568	2432240
20	25802	2431551
21	26985	2426212
22	28215	2425284
23	29458	2425380
24	30633	2420033
25	31883	2420693
26	33140	2421699
27	34310	2416413
28	35555	2416559
29	36792	2416063
30	37987	2412789
31	39238	2413154
32	40472	2412399
33	41665	2409230
34	42913	2409264
35	44163	2409347
36	45347	2405871
37	46601	2406096
38	47841	2405560
39	49012	2401593
40	50254	2401161
41	51503	2401055
42	52671	2397170
43	53940	2397913
44	55182	2397383
45	56375	2394727
46	57626	2394580
47	58862	2393739
48	60053	2391128
49	61310	2391123
50	62585	2391755
51	63786	2389541
52	65032	2389031
53	66284	2388698
54	67486	2386557
55	68736	2386151
56	69983	2385591
57	71193	2383740
58	72443	2383271
59	73708	2383252
60	74924	2381630
61	76165	2380789
62	77378	2379095
63	78600	2377679
64	79863	2377484
65	81090	2376204
66	82305	2374585
67	83555	2373948
68	84760	2372078
69	85991	2370917
70	87269	2371026
71	88479	2369275
72	89694	2367684
73	90958	2367370
74	92170	2365700
75	93384	2364099
76	94647	2363726
77	95898	2363026
78	97106	2361289
79	98342	2360227
80	99580	2359197
81	100816	2358130
82	102060	2357220
83	103288	2355972
84	104523	2354862
85	105728	2353077
86	106957	2351836
87	108196	2350816
88	109358	2348141
89	110613	2347460
90	111856	2346526
91	113212	2347935
92	114442	2346688
93	115680	2345598
94	116964	2345455
95	118199	2344286
96	119415	2342764
97	120665	2341893
98	121902	2340775
99	123128	2339447
100	124389	2338769
101	125627	2337661
102	126850	2336269
103	128098	2335339
104	129319	2333916
105	130566	2332950
106	131801	2331782
107	133061	2331032
108	134298	2329898
109	135565	2329261
110	136787	2327859
111	138024	2326695
112	139279	2325851
113	140494	2324314
114	141730	2323154
115	142990	2322354
116	144205	2320840
117	145412	2319212
118	146656	2318161
119	147875	2316722
120	149118	2315650
121	150391	2315043
122	151630	2313909
123	152933	2313728
124	154190	2312851
125	155415	2311498
126	156642	2310168
127	157918	2309565
128	159150	2308302
129	160391	2307172
130	161645	2306218
131	162871	2304872
132	164111	2303734
133	165381	2303002
134	166581	2301291
135	167865	2300741
136	169118	2299758
137	170326	2298170
138	171621	2297752
139	172876	2296785
140	174065	2294952
141	175332	2294145
142	176596	2293286
143	177774	2291313
144	179031	2290362
145	180321	2289840
146	181516	2288101
147	182803	2287516
148	184050	2286427
149	185247	2284717
150	186517	2283913
151	187752	2282672
152	188949	2280978
153	190238	2280391
154	191515	2279648
155	192714	2277987
156	193979	2277101
157	195238	2276130
158	196418	2274255
